timestamp,query,expanded_query,retrieval_mode,fusion_method,bm25_variant,encoder_model,alpha_weight,top1_title,top1_hybrid_score,top1_bm25_norm,top1_dense_norm,response_time_ms
2026-04-02T11:41:24.714946,What are the stages of information storage?,What are the stages of information storage ? be stage microscope stage info data selective information store memory computer memory,hybrid,Weighted Sum (Linear),BM25Okapi,"MiniLM-L6-v2 (fast, small)",0.5,Computer data storage,36.570143,72.595502,0.544784,1900.3
2026-04-02T11:42:20.114008,AI ,AI army intelligence artificial intelligence,hybrid,Weighted Sum (Linear),BM25Okapi,"MiniLM-L6-v2 (fast, small)",0.5,List of artificial intelligence projects,11.770524,23.215973,0.325075,464.7
2026-04-02T13:48:34.243503,information storage?,information storage ? info data selective information store memory computer memory,hybrid,Weighted Sum (Linear),BM25Okapi,"MiniLM-L6-v2 (fast, small)",0.5,Computer data storage,25.533678,50.480993,0.586363,893.9
2026-04-02T13:51:02.586533,information storage?,information storage ? info data selective information store memory computer memory,hybrid,Weighted Sum (Linear),BM25Okapi,"MiniLM-L6-v2 (fast, small)",0.5,Computer data storage,25.533678,50.480993,0.586363,339.7
2026-04-02T15:17:00.085974,Machine learning,Machine learning simple machine political machine learnedness,hybrid,Weighted Sum (Linear),BM25Okapi,"MiniLM-L6-v2 (fast, small)",0.5,Artificial intelligence,11.355229,22.50724,0.203218,2332.0
